danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,hit
0.912,0.533,1,0.0618,0.092,1.48e-06,0.174,0.208,119.922,233680,-5.587,1
0.58,0.469,0,0.104,0.126,7.32e-05,0.099,0.369,110.573,165053,-5.946,0
0.375,0.574,7,0.0315,0.143,0.0,0.11,0.406,132.025,196800,-5.305,1
0.729,0.504,8,0.0321,0.401,1.44e-06,0.121,0.305,110.011,197001,-6.784,0
0.841,0.682,2,0.0458,0.113,9.65e-05,0.131,0.338,94.985,245098,-7.007,1
0.669,0.419,1,0.522,0.376,0.0,0.187,0.0397,109.813,215320,-6.724,0
0.552,0.402,11,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,-7.431,1
0.491,0.907,7,0.0481,0.0491,0.0,0.242,0.631,199.943,182667,-3.594,1
0.752,0.396,2,0.411,0.867,0.0,0.0486,0.417,116.016,274187,-7.932,1
0.599,0.571,2,0.0665,0.198,0.0,0.0969,0.285,151.974,206453,-4.998,1
0.718,0.767,9,0.166,0.138,0.0,0.114,0.519,160.084,156000,-5.641,1
0.698,0.633,8,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,-4.946,1
0.88,0.428,9,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800,-8.28,1
0.674,0.578,10,0.298,0.0518,0.0055,0.72,0.163,112.265,170240,-8.768,0
0.46,0.697,6,0.325,0.0186,0.0,0.362,0.701,153.426,202120,-5.954,0
0.586,0.732,8,0.0279,0.176,0.0,0.148,0.582,150.109,221801,-6.171,1
0.694,0.796,5,0.198,0.0713,0.0163,0.096,0.592,78.033,166120,-3.696,1
0.706,0.783,2,0.424,0.129,0.0,0.0952,0.513,130.195,205861,-5.337,1
0.823,0.447,1,0.126,0.775,1.48e-05,0.0931,0.413,110.059,228662,-10.562,0
0.737,0.728,5,0.402,0.0392,0.0,0.159,0.587,144.964,195456,-5.498,0
0.831,0.713,1,0.094,0.181,0.0,0.0572,0.69,132.109,202853,-3.646,0
0.719,0.497,8,0.681,0.115,0.0,0.0898,0.345,81.651,216727,-7.661,1
0.829,0.527,6,0.367,0.482,0.0,0.631,0.473,116.078,200310,-6.644,0
0.827,0.658,6,0.0517,0.0224,0.0,0.0417,0.523,115.016,152862,-3.846,1
0.851,0.666,11,0.0694,0.139,0.0,0.105,0.0585,134.068,129105,-5.334,0
0.817,0.816,2,0.269,0.00263,0.0,0.159,0.508,181.982,190288,-5.402,1
0.569,0.777,4,0.0834,0.139,0.0,0.132,0.181,164.027,246987,-4.041,0
0.738,0.824,5,0.0437,0.15,0.0,0.132,0.386,138.039,204360,-5.165,0
0.635,0.324,6,0.0769,0.165,4.18e-06,0.108,0.0741,117.863,309120,-9.51,0
0.762,0.621,0,0.0866,0.61,0.0,0.464,0.593,120.056,216747,-6.24,1
0.798,0.733,7,0.0476,0.265,1.25e-06,0.114,0.861,146.046,211427,-4.811,0
0.917,0.679,6,0.266,0.0867,0.0,0.588,0.453,102.449,191700,-6.083,1
0.652,0.591,11,0.0418,0.145,5.65e-06,0.164,0.274,121.873,261800,-7.274,0
0.799,0.659,10,0.272,0.00451,0.0,0.13,0.256,177.957,162488,-5.593,0
0.664,0.667,4,0.154,0.64,1.22e-06,0.0753,0.381,180.064,227533,-5.941,1
0.606,0.775,5,0.0671,0.262,0.0,0.1,0.307,164.02,228147,-4.269,0
0.869,0.385,4,0.297,0.135,0.0,0.0931,0.596,149.897,133922,-7.801,1
0.38,0.454,0,0.0362,0.755,0.623,0.263,0.288,77.592,112013,-10.271,0
0.678,0.648,2,0.445,0.147,0.0,0.182,0.635,94.336,190177,-5.892,1
0.675,0.567,10,0.263,0.19,1.77e-06,0.175,0.658,84.039,315771,-9.147,0
0.532,0.783,2,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,-5.697,1
0.72,0.626,8,0.397,0.0607,0.0,0.0728,0.182,75.032,286730,-9.351,1
0.548,0.472,8,0.477,0.626,0.0,0.119,0.138,82.36,197822,-8.343,1
0.662,0.714,5,0.121,0.312,0.0,0.179,0.464,147.997,212120,-5.68,0
0.801,0.795,1,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,-5.115,0
0.488,0.637,10,0.0401,0.265,0.0,0.106,0.23,88.865,208720,-7.63,1
0.837,0.549,0,0.167,0.17,0.0,0.057,0.209,121.954,188524,-5.722,1
